poll_date,state,pollster,sample_size,margin_of_error,candidate_dem,candidate_rep,dem_pct,rep_pct,spread,days_before_election
2020-01-15,Pennsylvania,Quinnipiac,1205,2.8,Joe Biden,Donald Trump,50.2,43.8,6.4,293
2020-01-22,Michigan,Marist,982,3.1,Joe Biden,Donald Trump,49.5,44.1,5.4,286
2020-02-05,Wisconsin,Marquette,1108,3.0,Joe Biden,Donald Trump,48.8,44.5,4.3,272
2020-02-12,Arizona,OH Predictive,1042,3.0,Joe Biden,Donald Trump,47.2,46.8,0.4,265
2020-02-18,Florida,University of North Florida,1318,2.7,Joe Biden,Donald Trump,48.1,46.2,1.9,259
2020-03-04,North Carolina,PPP,1157,2.9,Joe Biden,Donald Trump,47.5,46.5,1.0,244
2020-03-10,Pennsylvania,Franklin & Marshall,932,3.2,Joe Biden,Donald Trump,49.8,44.2,5.6,238
2020-03-18,Michigan,EPIC-MRA,600,4.0,Joe Biden,Donald Trump,48.2,43.5,4.7,230
2020-04-01,Wisconsin,Marquette,1198,2.8,Joe Biden,Donald Trump,48.0,43.0,5.0,216
2020-04-15,Florida,Mason-Dixon,1100,3.0,Joe Biden,Donald Trump,47.5,46.0,1.5,202
2020-04-22,Arizona,Monmouth,735,3.6,Joe Biden,Donald Trump,48.5,44.8,3.7,195
2020-05-06,North Carolina,SurveyUSA,1422,2.6,Joe Biden,Donald Trump,48.2,45.8,2.4,181
2020-05-13,Pennsylvania,Quinnipiac,1323,2.7,Joe Biden,Donald Trump,50.5,43.0,7.5,174
2020-05-20,Georgia,Monmouth,742,3.6,Joe Biden,Donald Trump,47.2,47.5,-0.3,167
2020-06-03,Michigan,Siena/NYT,866,3.4,Joe Biden,Donald Trump,47.0,41.0,6.0,154
2020-06-10,Wisconsin,Fox News,1210,2.5,Joe Biden,Donald Trump,49.0,42.0,7.0,147
2020-06-17,Florida,Quinnipiac,1437,2.6,Joe Biden,Donald Trump,49.5,43.5,6.0,140
2020-06-24,Arizona,OH Predictive,1085,3.0,Joe Biden,Donald Trump,48.8,44.2,4.6,133
2020-07-01,Pennsylvania,Monmouth,844,3.5,Joe Biden,Donald Trump,51.2,42.8,8.4,126
2020-07-08,North Carolina,PPP,1186,2.8,Joe Biden,Donald Trump,48.0,45.2,2.8,119
2020-07-15,Michigan,EPIC-MRA,600,4.0,Joe Biden,Donald Trump,50.5,42.0,8.5,112
2020-07-22,Wisconsin,Marquette,1282,2.7,Joe Biden,Donald Trump,49.0,44.0,5.0,105
2020-08-05,Florida,Mason-Dixon,1225,2.8,Joe Biden,Donald Trump,48.5,45.5,3.0,91
2020-08-12,Arizona,Monmouth,810,3.4,Joe Biden,Donald Trump,48.0,45.0,3.0,84
2020-08-19,Georgia,Quinnipiac,1108,2.9,Joe Biden,Donald Trump,48.8,46.2,2.6,77
2020-08-26,Pennsylvania,Franklin & Marshall,1012,3.1,Joe Biden,Donald Trump,49.5,44.0,5.5,70
2020-09-02,North Carolina,SurveyUSA,1388,2.6,Joe Biden,Donald Trump,47.8,46.0,1.8,63
2020-09-09,Michigan,Siena/NYT,956,3.2,Joe Biden,Donald Trump,48.2,42.5,5.7,56
2020-09-16,Wisconsin,Marquette,1358,2.7,Joe Biden,Donald Trump,47.5,43.5,4.0,49
2020-09-23,Florida,Quinnipiac,1504,2.5,Joe Biden,Donald Trump,48.0,45.0,3.0,42
2020-09-30,Arizona,OH Predictive,1145,2.9,Joe Biden,Donald Trump,48.5,46.0,2.5,35
2020-10-05,Pennsylvania,Monmouth,908,3.3,Joe Biden,Donald Trump,51.0,43.0,8.0,30
2020-10-07,Georgia,Monmouth,814,3.4,Joe Biden,Donald Trump,48.0,47.5,0.5,28
2020-10-10,North Carolina,PPP,1242,2.8,Joe Biden,Donald Trump,48.5,46.5,2.0,25
2020-10-12,Michigan,EPIC-MRA,600,4.0,Joe Biden,Donald Trump,50.0,43.0,7.0,23
